"Nome della campagna","Nome del gruppo di inserzioni","Nome dell'inserzione",Piattaforma,Posizionamento,Obiettivo,Giorno,"Stato di pubblicazione","Livello di pubblicazione","Nome del gruppo di inserzioni","Impostazione di attribuzione","Tipo di risultato",Risultati,Copertura,Impression,"Costo per risultato","Valutazione della qualità","Valutazione del tasso di coinvolgimento","Classificazione tasso di conversione","Importo speso (EUR)","Clic sul link","CTR (tutti i clic)","CPC (tutti i clic)","CPM (costo per 1000 impression)","CTR (tasso di clic sul link)","CPC (costo per clic sul link)","Tasso di visualizzazioni della pagina di destinazione per clic sul link","Inizio dei report","Fine dei report"
"[PROSPECTING] - [LEAD] - [EUROITALIA] - [2025-10-06]","[ADSET] - [LEAD] - [EUROITALIA] - [2025-10-06] - [AVATAR-PROFESSIONISTA] 2.0 - Copia","[AD] - [LEAD] - [EUROITALIA] - [2025-10-06] - [IMG01] - GENNAIO",instagram,"Instagram Stories",OUTCOME_LEADS,2026-01-15,not_delivering,ad,"[ADSET] - [LEAD] - [EUROITALIA] - [2025-10-06] - [AVATAR-PROFESSIONISTA] 2.0 - Copia","7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,349,414,,-,-,-,0.8,,,,1.93236715,,,,2026-01-15,2026-01-15
"[PROSPECTING] - [LEAD] - [EUROITALIA] - [2025-10-06]","[ADSET] - [LEAD] - [EUROITALIA] - [2025-10-06] - [AVATAR-PROFESSIONISTA] 2.0 - Copia","[AD] - [LEAD] - [EUROITALIA] - [2025-10-06] - [IMG01] - GENNAIO",instagram,Feed,OUTCOME_LEADS,2026-01-15,not_delivering,ad,"[ADSET] - [LEAD] - [EUROITALIA] - [2025-10-06] - [AVATAR-PROFESSIONISTA] 2.0 - Copia","7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,471,572,,-,-,-,2.84,5,1.04895105,0.47333333,4.96503497,0.87412587,0.568,,2026-01-15,2026-01-15
"[PROSPECTING] - [LEAD] - [EUROITALIA] - [2025-10-06]","[ADSET] - [LEAD] - [EUROITALIA] - [2025-10-06] - [AVATAR-PROFESSIONISTA] 2.0 - Copia","[AD] - [LEAD] - [EUROITALIA] - [2025-10-06] - [IMG03] - GENNAIO",facebook,"Facebook Stories",OUTCOME_LEADS,2026-01-14,not_delivering,ad,"[ADSET] - [LEAD] - [EUROITALIA] - [2025-10-06] - [AVATAR-PROFESSIONISTA] 2.0 - Copia","7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,281,303,,-,-,-,1.26,3,1.32013201,0.315,4.15841584,0.99009901,0.42,,2026-01-14,2026-01-14
"[PROSPECTING] - [LEAD] - [EUROITALIA] - [2025-10-06]","[ADSET] - [LEAD] - [EUROITALIA] - [2025-10-06] - [AVATAR-PROFESSIONISTA] 2.0 - Copia","[AD] - [LEAD] - [EUROITALIA] - [2025-10-06] - [IMG03] - GENNAIO",instagram,"Instagram Reels",OUTCOME_LEADS,2026-01-14,not_delivering,ad,"[ADSET] - [LEAD] - [EUROITALIA] - [2025-10-06] - [AVATAR-PROFESSIONISTA] 2.0 - Copia","7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,259,287,,-,-,-,0.92,,0.69686411,0.46,3.20557491,,,,2026-01-14,2026-01-14
"[PROSPECTING] - [LEAD] - [EUROITALIA] - [2025-10-06]","[ADSET] - [LEAD] - [EUROITALIA] - [2025-10-06] - [AVATAR-PROFESSIONISTA] 2.0 - Copia","[AD] - [LEAD] - [EUROITALIA] - [2025-10-06] - [IMG03] - GENNAIO",facebook,"Facebook Reels",OUTCOME_LEADS,2026-01-14,not_delivering,ad,"[ADSET] - [LEAD] - [EUROITALIA] - [2025-10-06] - [AVATAR-PROFESSIONISTA] 2.0 - Copia","7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,223,251,,-,-,-,0.76,2,0.79681275,0.38,3.02788845,0.79681275,0.38,,2026-01-14,2026-01-14
"[PROSPECTING] - [LEAD] - [EUROITALIA] - [2025-10-06]","[ADSET] - [LEAD] - [EUROITALIA] - [2025-10-06] - [AVATAR-PROFESSIONISTA] 2.0 - Copia","[AD] - [LEAD] - [EUROITALIA] - [2025-10-06] - [IMG03] - GENNAIO",instagram,Feed,OUTCOME_LEADS,2026-01-14,not_delivering,ad,"[ADSET] - [LEAD] - [EUROITALIA] - [2025-10-06] - [AVATAR-PROFESSIONISTA] 2.0 - Copia","7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,1311,1525,,-,-,-,4.63,2,0.39344262,0.77166667,3.03606557,0.13114754,2.315,,2026-01-14,2026-01-14
"[PROSPECTING] - [LEAD] - [EUROITALIA] - [2025-10-06]","[ADSET] - [LEAD] - [EUROITALIA] - [2025-10-06] - [AVATAR-PROFESSIONISTA] 2.0 - Copia","[AD] - [LEAD] - [EUROITALIA] - [2025-10-06] - [IMG03] - GENNAIO",facebook,Feed,OUTCOME_LEADS,2026-01-14,not_delivering,ad,"[ADSET] - [LEAD] - [EUROITALIA] - [2025-10-06] - [AVATAR-PROFESSIONISTA] 2.0 - Copia","7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,3217,3888,,-,-,-,10.06,24,1.59465021,0.16225806,2.58744856,0.61728395,0.41916667,,2026-01-14,2026-01-14
"[PROSPECTING] - [LEAD] - [EUROITALIA] - [2025-10-06]","[ADSET] - [LEAD] - [EUROITALIA] - [2025-10-06] - [AVATAR-PROFESSIONISTA] 2.0 - Copia","[AD] - [LEAD] - [EUROITALIA] - [2025-10-06] - [IMG03] - GENNAIO",instagram,"Instagram Stories",OUTCOME_LEADS,2026-01-14,not_delivering,ad,"[ADSET] - [LEAD] - [EUROITALIA] - [2025-10-06] - [AVATAR-PROFESSIONISTA] 2.0 - Copia","7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,1376,1577,,-,-,-,3.37,4,0.3170577,0.674,2.13696893,0.25364616,0.8425,,2026-01-14,2026-01-14
"[PROSPECTING] - [LEAD] - [EUROITALIA] - [2025-10-06]","[ADSET] - [LEAD] - [EUROITALIA] - [2025-10-06] - [AVATAR-PROFESSIONISTA] 2.0 - Copia","[AD] - [LEAD] - [EUROITALIA] - [2025-10-06] - [IMG01] - GENNAIO",instagram,Feed,OUTCOME_LEADS,2026-01-14,not_delivering,ad,"[ADSET] - [LEAD] - [EUROITALIA] - [2025-10-06] - [AVATAR-PROFESSIONISTA] 2.0 - Copia","7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,530,626,,-,-,-,2.49,2,0.79872204,0.498,3.97763578,0.31948882,1.245,,2026-01-14,2026-01-14
"[PROSPECTING] - [LEAD] - [EUROITALIA] - [2025-10-06]","[ADSET] - [LEAD] - [EUROITALIA] - [2025-10-06] - [AVATAR-PROFESSIONISTA] 2.0 - Copia","[AD] - [LEAD] - [EUROITALIA] - [2025-10-06] - [IMG01] - GENNAIO",facebook,"Facebook Stories",OUTCOME_LEADS,2026-01-14,not_delivering,ad,"[ADSET] - [LEAD] - [EUROITALIA] - [2025-10-06] - [AVATAR-PROFESSIONISTA] 2.0 - Copia","7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,36,37,,-,-,-,0.14,,,,3.78378378,,,,2026-01-14,2026-01-14
"[PROSPECTING] - [LEAD] - [EUROITALIA] - [2025-10-06]","[ADSET] - [LEAD] - [EUROITALIA] - [2025-10-06] - [AVATAR-PROFESSIONISTA] 2.0 - Copia","[AD] - [LEAD] - [EUROITALIA] - [2025-10-06] - [IMG01] - GENNAIO",instagram,"Instagram Reels",OUTCOME_LEADS,2026-01-14,not_delivering,ad,"[ADSET] - [LEAD] - [EUROITALIA] - [2025-10-06] - [AVATAR-PROFESSIONISTA] 2.0 - Copia","7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,78,95,,-,-,-,0.19,,,,2,,,,2026-01-14,2026-01-14
